id,smiles_in,smiles_out,valid_out,exact_match,tanimoto,delta_atoms,delta_bonds
0,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
1,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
2,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
3,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
4,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
5,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
6,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,1,1,1.0,0,0
7,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,1,1,1.0,0,0
8,O=C(O)/C=C/c1ccc(O)cc1,O=C(O)/C=C/c1ccc(O)cc1,1,1,1.0,0,0
9,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],1,1,1.0,0,0
10,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
11,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,1,1,1.0,0,0
12,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,1,1,1.0,0,0
13,COc1cc(C=C(C#N)C#N)cc(OC)c1,COc1cc(C=C(C#N)C#N)cc(OC)c1,1,1,1.0,0,0
14,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,1,1,1.0,0,0
15,N#CC(C#N)=Cc1ccc(O)c(O)c1,N#CC(C#N)=Cc1ccc(O)c(O)c1,1,1,1.0,0,0
16,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1,1,1.0,0,0
17,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
18,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,1,1,1.0,0,0
19,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,1,1,1.0,0,0
20,COc1ccc(NN=C(C#N)C#N)cc1,COc1ccc(NN=C(C#N)C#N)cc1,1,1,1.0,0,0
21,COc1cc(C=C(C#N)C#N)cc(OC)c1O,COc1cc(C=C(C#N)C#N)cc(OC)c1O,1,1,1.0,0,0
22,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,1,1,1.0,0,0
23,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,1,1,1.0,0,0
